"","Datein","FR(m3/dia)","BODin (ppm)","CODin (ppm)","SSin(ppm)","pHin","NAmin(ppm)","NNin (ppm)","Pin (ppm)","Colin(ppm)","Tin(°C)","Condin L1","RF(mm)","Pulp(ton/dia)","Pap (ton/dia)","...16","Dateout","BODout(ppm)","CODout (ppm)","SSout(ppm)","Colout(ppm)","Tout(°C)","Condout","FRout(m3/dia)","FRmod(m3/dia)"
"1",1996-09-01,79757,236,465,NA,6.65,NA,NA,NA,356,NA,1180,4.8,878.13,962.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1996-09-02,78818,270,483,NA,6.04,NA,0.26,NA,433,43,1230,1.5,925.6,986.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1996-09-03,82039,292,571,NA,5.39,NA,0.29,NA,287,43.5,1030,39.7,972.6,1065,NA,35311,74,245,NA,311,33.5,1190,84096.8495,NA
"4",1996-09-04,79501,264,461,NA,5.92,NA,0.75,NA,406,43,1150,0.8,744.481,879.7,NA,35312,88,237,NA,298,33,1140,79542.468,NA
"5",1996-09-05,82461,299,471,181,6.11,NA,NA,NA,406,43,1210,26.1,891.033,985.8,NA,35313,67,221,37,297,33,1115,83813.8935,NA
"6",1996-09-06,77323,235,353,NA,6.29,NA,NA,NA,302,43,1176,NA,814.053,1003,NA,35314,44,148,NA,239,33,780,77323,NA
"7",1996-09-07,79129,247,391,NA,6.17,NA,NA,NA,318,NA,1075,3,848.071,1064.2,NA,35315,46,187,NA,306,NA,1160,79284.505,79842.2857142857
"8",1996-09-08,78475,255,472,NA,6.63,NA,NA,NA,318,NA,1216,46.2,964.139,1077.1,NA,35316,53,232,NA,300,NA,1200,80869.777,79715.5714285714
"9",1996-09-09,81565,267,473,NA,6.82,NA,NA,2.04,384,43,1148,22.6,736.316,1004.4,NA,35317,62,219,NA,277,32.5,1129,82736.471,79763.7142857143
"10",1996-09-10,82320,283,472,NA,9.35,1.2,NA,0.92,405,42.5,1248,29.8,944.266,1003.8,NA,35318,64,204,NA,287,32,1125,83864.683,79629.8571428571
"11",1996-09-11,82851,286,464,NA,6.34,1.8,NA,NA,288,41,1125,12,837.711,1036.6,NA,35319,68,200,NA,307,31,1185,83473.02,79387.5714285714
"12",1996-09-12,79417,207,504,83,6.2,NA,NA,NA,367,41,1220,NA,842.409,1045,NA,35320,62,199,31,290,30.5,1125,79417,78950.5714285714
"13",1996-09-13,77128,342,582,NA,6.32,NA,NA,1.69,351,44,1515,NA,867.694,930,NA,35321,94,278,NA,417,32,2020,77128,79250.2142857143
"14",1996-09-14,77008,254,471,NA,6.08,NA,NA,NA,381,NA,1419,NA,869.478,1075.1,NA,35322,53,221,NA,320,NA,1313,77008,79440.2142857143
"15",1996-09-15,77983,224,446,NA,6.66,NA,NA,NA,334,NA,1190,NA,884.067,934.3,NA,35323,51,240,NA,361,NA,1266,77983,79619
"16",1996-09-16,79492,211,425,NA,6.62,NA,1.63,NA,362,44,1350,NA,962.478,1023.2,NA,35324,58,228,NA,346,34,1368,79492,79425
"17",1996-09-17,80165,282,471,NA,7.13,NA,0.69,NA,411,44,1300,5.9,939.255,1033.8,NA,35325,48,198,NA,337,34,1270,80470.8265,79275.4285714286
"18",1996-09-18,76109,244,511,NA,11.39,NA,NA,NA,504,43,1850,NA,969.905,1063.6,NA,35326,64,215,NA,360,33.5,1301,76109,79203.2857142857
"19",1996-09-19,76343,231,425,90,6.36,NA,NA,NA,329,43,1110,NA,877.811,984.1,NA,35327,46,199,10,389,33,1390,76343,79291.1428571429
"20",1996-09-20,81518,243,368,NA,6.04,NA,0.96,NA,230,43.5,971,NA,990.1,873.996,NA,35328,66,208,NA,340,34,1445,81518,79399.1428571429
"21",1996-09-21,81789,195,379,NA,6.51,NA,NA,NA,298,NA,1138,NA,871.959,817,NA,35329,63,201,NA,320,NA,1296,81789,79515.7142857143
"22",1996-09-22,80978,195,440,NA,6.64,NA,NA,NA,384,NA,1193,NA,781.613,801.9,NA,35330,55,213,NA,312,NA,1218,80978,79539.2142857143
"23",1996-09-23,78849,204,365,NA,6.44,NA,NA,1.32,276,42,1030,NA,699.713,1029.5,NA,35331,59,213,NA,325,34,1262,78849,79496.3571428571
"24",1996-09-24,80226,193,403,NA,6.12,1.7,NA,1.11,271,44.53,1070,NA,822.965,1069.9,NA,35332,45,182,NA,299,35.5,1163,80226,79454.8571428571
"25",1996-09-25,81841,259,442,NA,4.7,1.5,NA,NA,353,43.5,1240,6.3,966.132,1094.1,NA,35333,53,192,NA,260,35,1147,82167.5605,79860.7142857143
"26",1996-09-26,80647,265,465,30,6.07,1.5,NA,NA,331,44.5,1101,NA,862.26,963.4,NA,35334,57,203,30,267,35,1213,80647,80532
"27",1996-09-27,78640,183,440,NA,7.17,NA,NA,NA,255,45.5,1048,NA,748.127,1004.7,NA,35335,32,196,NA,239,35,1008,78640,80396.2857142857
"28",1996-09-28,78640,206,395,NA,7.5,NA,NA,NA,299,NA,1320,NA,940.711,1014.1,NA,35336,45,196,NA,315,NA,1205,78640,80263.6428571429
"29",1996-09-29,78312,191,411,NA,9.17,NA,NA,NA,404,NA,1042,NA,923.143,1004.1,NA,35337,73,254,NA,363,NA,1300,78312,80319.4285714286
"30",1996-09-30,78892,189,396,NA,6.7,NA,1.21,NA,365,45,1069,NA,869.054,1039.2,NA,35338,62,230,NA,371,35,1218,78892,80315.3571428571
"31",1996-10-01,79584,219,406,NA,6.61,NA,0.62,NA,405,45,1254,NA,961.258,1072.4,NA,35339,62,222,NA,372,35,1164,79584,80149.0714285714
"32",1996-10-02,81791,286,NA,NA,6.02,NA,NA,NA,333,45,1164,2.7,929.583,1064.7,NA,35340,54,NA,NA,356,33.5,1252,81930.9545,80124.2857142857
"33",1996-10-03,85741,219,NA,NA,6.36,NA,NA,NA,378,NA,1272,64.6,893.026,1043,NA,35341,60,NA,NA,332,NA,1220,89089.541,80317.2857142857
"34",1996-10-04,79618,216,NA,NA,6.88,NA,NA,NA,393,NA,1364,0.2,871.311,980.7,NA,35342,64,NA,NA,318,NA,1247,79628.367,80009.5714285714
"35",1996-10-05,79932,188,375,NA,6.72,NA,NA,NA,347,NA,1315,NA,925.635,1022.4,NA,35343,45,209,NA,334,NA,1341,79932,79266.2142857143
"36",1996-10-06,81759,148,353,NA,6.53,NA,NA,NA,327,NA,1142,16.9,878.234,1130.5,NA,35344,36,160,NA,326,NA,1326,82635.0115,79376.8571428571
"37",1996-10-07,78792,156,338,NA,6.62,NA,NA,1.1,361,45,1109,NA,841.897,975.1,NA,35345,45,198,NA,322,34,1276,78792,79704
"38",1996-10-08,77898,267,446,NA,11.4,1.5,NA,1.15,383,44,1659,NA,865.22,1034.5,NA,35346,46,170,NA,309,35,1219,77898,79990.1428571429
"39",1996-10-09,81494,218,374,NA,6.72,1.7,NA,NA,385,44,1183,NA,781.212,946.9,NA,35347,50,171,NA,318,34,1380,81494,79788.5
"40",1996-10-10,83349,204,377,106,6.51,1.4,NA,NA,421,44,1049,36.4,780.799,1044.6,NA,35348,80,223,47,336,34,1280,85235.794,79493.2857142857
"41",1996-10-11,74332,191,401,NA,6.64,NA,NA,1.29,350,44,1180,12,706.419,900.3,NA,35349,40,136,NA,300,34.5,1344,74954.02,79419.0714285714
"42",1996-10-12,68233,225,495,NA,7.15,NA,NA,NA,529,NA,1396,0.2,767.999,975,NA,35350,35,144,NA,375,NA,1140,68243.367,79621.5714285714
"43",1996-10-13,79861,224,411,NA,7.37,NA,NA,NA,401,NA,1272,NA,697.421,965.1,NA,35351,51,163,NA,417,NA,1286,79861,79474.1428571429
"44",1996-10-14,83472,198,389,NA,7.12,NA,1.36,NA,408,45,1239,4.3,619.13,907.6,NA,35352,59,200,NA,398,36,1310,83694.8905,79490
"45",1996-10-15,83590,230,413,NA,7.19,NA,1.37,NA,424,45,1300,NA,846.04,928.7,NA,35353,89,265,NA,369,35,1305,83590,79522
"46",1996-10-16,78968,234,394,NA,6.98,NA,NA,NA,459,45,1258,NA,846.662,959.8,NA,35354,21,145,NA,412,35,1323,78968,79689.2857142857
"47",1996-10-17,81608,220,409,70,7.11,NA,NA,NA,367,45,1187,NA,936.477,1009.4,NA,35355,92,262,45,371,35,1330,81608,79773.2142857143
"48",1996-10-18,78579,240,405,NA,6.71,NA,0.1,NA,366,46,1290,NA,1011.32,1067.8,NA,35356,37,179,NA,389,36,1296,78579,80499.1428571429
"49",1996-10-19,82767,236,411,NA,6.05,NA,NA,NA,318,NA,1118,NA,917.902,1066.4,NA,35357,32,168,NA,357,NA,1287,82767,81137.2142857143
"50",1996-10-20,79695,216,414,NA,6.71,NA,NA,NA,353,NA,1154,7.6,892.841,1129.4,NA,35358,74,249,NA,362,NA,1205,80088.946,81026.5714285714
"51",1996-10-21,79014,219,451,NA,6.18,NA,NA,0.99,338,45,1145,NA,918.138,991.5,NA,35359,100,294,NA,303,36,1200,79014,80983.3571428571
"52",1996-10-22,78346,227,338,NA,5.6,1.5,NA,0.8,292,45,999,NA,951.476,1035.5,NA,35360,42,196,NA,350,35.5,1193,78346,80841.7857142857
"53",1996-10-23,83836,264,442,NA,6.77,1.5,NA,NA,354,45,1146,0.4,924.855,1027.7,NA,35361,39,193,NA,331,36.5,1129,83856.734,80666.6428571429
"54",1996-10-24,84524,276,416,12,6.83,1.4,NA,NA,316,45,1129,NA,910.138,962.9,NA,35362,43,194,32,318,36,1132,84524,80666.6428571429
"55",1996-10-25,84495,202,366,NA,6.56,NA,NA,1.11,318,45,1060,28.6,878.478,1028.4,NA,35363,55,198,NA,334,36,1144,85977.481,81161.7857142857
"56",1996-10-26,77166,174,322,NA,6.59,NA,NA,NA,279,NA,1146,12.8,939.721,1003.4,NA,35364,25,165,NA,322,NA,1127,77829.488,81214
"57",1996-10-27,78312,173,384,NA,7.31,NA,NA,NA,300,NA,1360,3.2,901.289,1004.7,NA,35365,60,191,NA,293,NA,1188,78477.872,81600.2857142857
"58",1996-10-28,82867,202,372,NA,7.26,NA,0.74,NA,308,45,1310,NA,932.879,915.9,NA,35366,36,160,NA,318,36,1225,82867,81916.2142857143
"59",1996-10-29,81608,186,382,NA,7.1,NA,0.69,NA,483,46,1198,NA,748.01,978.9,NA,35367,50,160,NA,269,36.5,1311,81608,82230.0714285714
"60",1996-10-30,76516,193,383,NA,6.81,NA,NA,NA,388,46,1220,NA,963.263,1026.4,NA,35368,46,189,NA,326,36.5,1268,76516,82150.2857142857
"61",1996-10-31,81608,215,387,24,6.55,NA,NA,NA,388,46,1085,4.4,980.327,1039.2,NA,35369,40,190,40,360,36,1242,81836.074,82169.6428571429
"62",1996-11-01,85511,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,29.6,899.979,1074.2,NA,35370,NA,NA,NA,NA,36.5,NA,87045.316,82094.7142857143
"63",1996-11-02,83498,193,356,NA,6.14,NA,NA,NA,321,NA,1068,5.5,990.134,1008.9,NA,35371,28,181,NA,338,NA,1144,83783.0925,82668.9285714286
"64",1996-11-03,85103,183,355,NA,6.52,NA,NA,NA,309,NA,1102,43.1,988.797,1049.7,NA,35372,42,202,NA,312,NA,1123,87337.0885,82932.8571428571
"65",1996-11-04,83437,174,361,NA,6.77,NA,NA,1.06,321,45,993,NA,NA,NA,NA,35373,30,198,NA,312,35.5,908,83437,82766
"66",1996-11-05,82740,270,479,NA,11.27,1.6,NA,1.44,336,45,1907,NA,NA,NA,NA,35374,43,167,NA,324,36,1234,82740,82589.1428571429
"67",1996-11-06,82719,270,442,NA,6.56,NA,NA,NA,392,45,1354,NA,NA,NA,NA,35375,60,219,NA,359,36,1418,82719,82762.4285714286
"68",1996-11-07,84795,203,441,95,7.08,1.4,NA,NA,379,46,1202,NA,NA,NA,NA,35376,62,216,49,358,37,1443,84795,82494.5
"69",1996-11-08,83446,NA,NA,NA,NA,NA,NA,1.02,NA,46,NA,NA,NA,NA,NA,35377,NA,NA,NA,NA,37,NA,83446,81639.4285714286
"70",1996-11-09,85205,207,380,NA,6.3,NA,NA,NA,289,NA,1174,NA,NA,NA,NA,35378,36,105,NA,411,NA,1481,85205,80929.1428571429
"71",1996-11-10,82007,172,393,NA,6.32,NA,NA,NA,413,NA,1165,NA,NA,NA,NA,35379,91,269,NA,352,NA,1272,82007,80221.3571428571
"72",1996-11-11,80531,171,335,NA,6.14,NA,1.34,NA,302,46,1025,NA,NA,NA,NA,35380,40,214,NA,390,36.5,1230,80531,79436.4285714286
"73",1996-11-12,79132,173,355,NA,5.9,NA,1.34,NA,269,46,379,NA,NA,NA,NA,35381,42,192,NA,335,36.5,1127,79132,78739.8571428571
"74",1996-11-13,78942,209,441,NA,11.35,NA,NA,NA,344,46,1598,0.4,NA,NA,NA,35382,86,221,NA,346,36.5,1240,78962.734,78289.7142857143
"75",1996-11-14,77857,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,1.1,NA,NA,NA,35383,NA,NA,NA,NA,36,NA,77914.0185,77420.2142857143
"76",1996-11-15,73540,159,365,NA,6.63,NA,NA,NA,289,NA,1130,NA,NA,NA,NA,35384,37,169,NA,295,NA,1308,73540,76383.7142857143
"77",1996-11-16,73554,169,374,NA,6.44,NA,NA,NA,368,NA,1263,7.8,NA,NA,NA,35385,31,169,NA,366,NA,1254,73958.313,75329.5
"78",1996-11-17,75194,236,419,NA,6.78,NA,NA,NA,278,NA,1323,1.7,NA,NA,NA,35386,39,201,NA,385,NA,1278,75282.1195,74518.7142857143
"79",1996-11-18,72448,179,384,NA,7.21,NA,NA,1.09,414,46.5,1485,0.1,NA,NA,NA,35387,28,160,NA,400,37,1403,72453.1835,73044.2857142857
"80",1996-11-19,72988,176,381,NA,6.58,1.4,NA,1.04,331,46,1109,10.1,NA,NA,NA,35388,47,160,NA,333,37,1229,73511.5335,71394
"81",1996-11-20,76417,216,367,NA,6.76,1.4,NA,NA,339,45,NA,72.1,NA,NA,NA,35389,58,160,NA,356,36,1410,80154.3035,67555.9285714286
"82",1996-11-21,72622,228,392,35,6.5,1,NA,NA,350,45,958,37.2,NA,NA,NA,35390,54,197,38,352,36,950,74550.262,65903.2142857143
"83",1996-11-22,68935,NA,NA,NA,6.2,NA,NA,1.04,381,45,980,1.2,NA,NA,NA,35391,NA,NA,NA,307,35.5,1409,68997.202,65988.3571428571
"84",1996-11-23,70446,213,411,NA,6.16,NA,NA,NA,341,NA,1144,0.3,NA,NA,NA,35392,49,216,NA,401,NA,1140,70461.5505,66450.3571428571
"85",1996-11-24,70656,238,429,NA,6.51,NA,NA,NA,389,NA,1309,NA,NA,NA,NA,35393,44,227,NA,403,NA,1300,70656,66665.5714285714
"86",1996-11-25,59889,161,273,NA,7.25,NA,0.48,NA,342,38.5,1001,NA,NA,NA,NA,35394,50,218,NA,379,37,1340,59889,67176.5
"87",1996-11-26,56028,180,355,NA,11.39,NA,0.48,NA,494,36.5,2640,NA,NA,NA,NA,35395,49,174,NA,387,34.5,1421,56028,67787.7857142857
"88",1996-11-27,25209,339,651,NA,11.65,NA,NA,NA,1317,40,3660,NA,NA,NA,NA,35396,36,179,NA,408,34,1469,25209,67799.3571428571
"89",1996-11-28,54719,197,323,112,10.35,NA,NA,NA,638,36,1570,NA,NA,NA,NA,35397,41,192,18,574,32,1642,54719,68280.9285714286
"90",1996-11-29,74732,206,373,NA,6.35,NA,0.56,NA,353,38,1000,NA,NA,NA,NA,35398,23,169,NA,592,32.5,1395,74732,68759.6428571429
"91",1996-11-30,80022,234,418,NA,6.51,NA,NA,NA,378,NA,1142,NA,NA,NA,NA,35399,29,173,NA,470,NA,1346,80022,69132
"92",1996-12-01,78207,207,436,NA,7.17,NA,NA,NA,417,NA,1575,4.3,NA,NA,NA,35400,30,213,NA,518,NA,1303,78429.8905,69458.5
"93",1996-12-02,79601,229,430,NA,7.06,NA,NA,1.07,342,45,1591,NA,NA,NA,NA,35401,67,234,NA,435,36,1430,79601,70507.4285714286
"94",1996-12-03,81546,222,426,NA,7.21,1.2,NA,1.11,346,45,1609,8,NA,NA,NA,35402,110,252,NA,385,37,1424,81960.68,72011.3571428571
"95",1996-12-04,76579,314,494,NA,7.64,1.6,NA,NA,726,46.5,1573,3.3,NA,NA,NA,35403,123,270,NA,350,37,1269,76750.0555,75657.4285714286
"96",1996-12-05,79364,236,404,68,6.89,1.4,NA,NA,382,46,1453,NA,NA,NA,NA,35404,122,276,75,397,37.5,1579,79364,75887.4285714286
"97",1996-12-06,75637,191,391,NA,7.05,NA,NA,1.15,413,46.5,1269,2,NA,NA,NA,35405,62,213,NA,370,37,1295,75740.67,74336.8571428571
"98",1996-12-07,75659,199,411,NA,6.7,NA,NA,NA,334,NA,1126,41.2,NA,NA,NA,35406,144,287,NA,380,NA,1315,77794.602,73618.0714285714
"99",1996-12-08,75227,278,440,NA,6.82,NA,NA,NA,310,NA,1343,0.1,NA,NA,NA,35407,140,324,NA,369,NA,1560,75232.1835,73455.9285714286
"100",1996-12-09,74574,248,435,NA,6.95,NA,0.6,NA,306,45.5,1282,NA,NA,NA,NA,35408,97,281,NA,353,37.5,1310,74574,73188.3571428571
"101",1996-12-10,77083,253,460,NA,6.51,NA,0.61,NA,371,46.5,1390,NA,NA,NA,NA,35409,95,277,NA,335,38,1365,77083,73018.2857142857
"102",1996-12-11,76254,155,262,NA,7.16,NA,NA,NA,213,46.5,982,17.6,NA,NA,NA,35410,86,245,NA,337,38,1312,77166.296,73105.5
"103",1996-12-12,57939,173,225,106,10.24,NA,NA,NA,363,38,1263,12.6,NA,NA,NA,35411,53,198,64,298,37,1230,58592.121,72885.1428571429
"104",1996-12-13,53024,NA,183,NA,9.68,NA,0.74,NA,282,38,810,1.7,NA,NA,NA,35412,NA,132,NA,287,34.5,1087,53112.1195,73200.7142857143
"105",1996-12-14,69959,164,304,NA,6.54,NA,NA,NA,280,NA,957,0.5,NA,NA,NA,35413,51,123,NA,352,NA,1093,69984.9175,73528.6428571429
"106",1996-12-15,75937,137,499,NA,7.06,NA,NA,NA,420,NA,1596,2.1,NA,NA,NA,35414,NA,171,53,307,NA,1123,76045.8535,74269.2857142857
"107",1996-12-16,75855,230,403,NA,7.22,NA,NA,1.02,448,46.5,1470,0.6,NA,NA,NA,35415,29,166,59,337,37,1140,75886.101,75066.5714285714
"108",1996-12-17,79165,279,439,NA,7.11,0.64,NA,1.27,366,47,1510,6.1,NA,NA,NA,35416,65,224,54,381,35,1300,79481.1935,74993.0714285714
"109",1996-12-18,77800,244,422,NA,7.21,0.4,NA,NA,429,46.5,1445,13.2,NA,NA,NA,35417,75,209,15,370,36,1398,78484.222,74933.7857142857
"110",1996-12-19,76279,269,535,240,11.89,0.14,NA,NA,426,45,2120,7,NA,NA,NA,35418,58,231,45,374,36.5,1470,76641.845,76273.9285714286
"111",1996-12-20,80055,NA,NA,NA,NA,NA,NA,0.45,NA,42,NA,16.7,NA,NA,NA,35419,NA,NA,NA,NA,36,NA,80920.6445,78420.7857142857
"112",1996-12-21,80250,255,436,NA,7.19,NA,NA,NA,423,NA,1430,0.1,NA,NA,NA,35420,80,198,50,262,NA,1563,80255.1835,79241.5714285714
"113",1996-12-22,85596,256,448,NA,7.15,NA,NA,NA,429,NA,1320,15.3,NA,NA,NA,35421,132,264,49,369,NA,1430,86389.0755,79945.4285714286
"114",1996-12-23,85736,219,458,NA,7.15,NA,1.72,NA,480,46,1385,14.9,NA,NA,NA,35422,81,251,NA,378,36,1382,86508.3415,80484.7142857143
"115",1996-12-24,76054,234,393,NA,7.14,NA,3.28,NA,379,47,1406,NA,NA,NA,NA,35423,65,229,32,385,37,1393,76054,81044.8571428571
"116",1996-12-25,75424,228,434,NA,7.26,NA,NA,NA,390,NA,1335,6.3,NA,NA,NA,35424,56,231,NA,361,NA,1407,75750.5605,81657.5
"117",1996-12-26,76701,190,412,NA,7.29,NA,NA,NA,393,48,1347,NA,NA,NA,NA,35425,60,229,NA,344,38,1395,76701,82383.7857142857
"118",1996-12-27,83080,250,387,NA,7,NA,NA,NA,339,48,1330,0.7,NA,NA,NA,35426,67,197,NA,329,38,1390,83116.2845,82396.0714285714
"119",1996-12-28,81450,201,383,NA,6.9,NA,NA,NA,357,NA,1323,5.2,NA,NA,NA,35427,37,185,NA,343,NA,1369,81719.542,82074.2142857143
"120",1996-12-29,85791,203,378,NA,7.2,NA,NA,NA,397,NA,1365,44.2,NA,NA,NA,35428,65,232,NA,376,NA,1336,88082.107,81473.1428571429
"121",1996-12-30,83405,203,374,NA,7.13,NA,NA,0.88,359,46.5,1269,8.7,NA,NA,NA,35429,72,238,NA,340,37,1322,83855.9645,80700.7142857143
"122",1996-12-31,87007,205,361,NA,6.87,0.26,NA,1.02,384,42.5,1322,37.9,NA,NA,NA,35430,45,183,NA,280,37,1246,88971.5465,80855.2857142857
"123",1997-01-01,86377,240,365,NA,7.12,NA,NA,NA,336,NA,1304,NA,NA,NA,NA,35431,59,181,NA,290,NA,1285,86377,81175.2142857143
"124",1997-01-02,86447,205,385,NA,7.22,NA,NA,NA,338,47,1324,22.4,NA,NA,NA,35432,57,194,NA,293,37,1313,87608.104,81146.1428571429
"125",1997-01-03,80227,163,379,NA,7.09,NA,NA,NA,351,45,1296,NA,NA,NA,NA,35433,41,195,NA,310,35,1281,80227,80232
"126",1997-01-04,75744,153,379,NA,6.92,NA,NA,NA,394,NA,1352,NA,NA,NA,NA,35434,33,190,NA,321,NA,1294,75744,80308.2857142857
"127",1997-01-05,77181,150,423,NA,7.11,NA,NA,NA,413,NA,1324,1.1,NA,NA,NA,35435,58,249,NA,316,NA,1318,77238.0185,80079.4285714286
"128",1997-01-06,74922,214,413,NA,6.99,NA,0.79,NA,486,44,1354,NA,NA,NA,NA,35436,59,219,NA,340,37,1336,74922,79878.5714285714
"129",1997-01-07,78218,237,429,NA,6.82,NA,1.17,NA,474,46,1361,NA,NA,NA,NA,35437,52,235,NA,367,36,1355,78218,79395.5
"130",1997-01-08,79903,221,434,NA,6.9,NA,NA,NA,458,47,1188,35.3,NA,NA,NA,35438,67,229,NA,382,37,1630,81732.7755,78947.5714285714
"131",1997-01-09,76294,247,509,51,10.7,NA,NA,NA,512,44,1580,NA,NA,NA,NA,35439,75,247,50,465,37,1310,76294,78114.7142857143
"132",1997-01-10,70282,NA,NA,NA,NA,NA,1.58,NA,NA,47,NA,7.5,NA,NA,NA,35440,NA,NA,NA,NA,38,NA,70670.7625,77996.5
"133",1997-01-11,82518,122,249,NA,7.31,NA,NA,NA,417,NA,971,45.9,NA,NA,NA,35441,33,187,NA,432,NA,1315,84897.2265,78184.7857142857
"134",1997-01-12,82587,184,436,NA,6.86,NA,NA,NA,509,NA,1258,3.1,NA,NA,NA,35442,45,181,NA,443,NA,1089,82747.6885,78275.5
"135",1997-01-13,80593,209,487,NA,6.54,NA,NA,0.87,556,48,1292,0.1,NA,NA,NA,35443,33,202,NA,501,34,1164,80598.1835,78806.8571428571
"136",1997-01-14,80244,217,492,NA,6.95,1.7,NA,0.5,632,48,1458,7.7,NA,NA,NA,35444,57,220,NA,502,36,1242,80643.1295,78981.5714285714
"137",1997-01-15,80106,186,468,NA,6.96,0.2,NA,NA,684,48,1482,5.8,NA,NA,NA,35445,68,257,NA,520,37,1346,80406.643,79108.4285714286
"138",1997-01-16,74787,242,467,71,8.44,1.25,NA,NA,549,48,1510,44.5,NA,NA,NA,35446,87,296,24,562,37,1443,77104.0245,79297
"139",1997-01-17,78572,200,447,NA,6.4,NA,NA,0.94,474,49,1245,8.2,NA,NA,NA,35447,45,262,NA,443,36,1290,78997.047,80172.0714285714
"140",1997-01-18,78380,178,462,NA,6.67,NA,NA,NA,576,NA,1336,NA,NA,NA,NA,35448,58,241,NA,571,NA,1424,78380,80009.3571428571
"141",1997-01-19,78451,206,459,NA,6.5,NA,NA,NA,565,NA,1217,1.2,NA,NA,NA,35449,55,254,NA,580,NA,1372,78513.202,79571.5
"142",1997-01-20,82361,177,453,NA,7.38,NA,0.225,0.94,532,48,1281,14.5,NA,NA,NA,35450,68,295,NA,529,38,1344,83112.6075,79839.5714285714
"143",1997-01-21,80664,242,526,NA,6.05,NA,0.387,NA,477,47,1133,1.8,NA,NA,NA,35451,50,242,NA,509,38,1315,80757.303,80258.9285714286
"144",1997-01-22,81679,195,439,NA,6.95,NA,NA,NA,528,48,1195,10.7,NA,NA,NA,35452,52,240,NA,554,38,1288,82233.6345,80186.6428571429
"145",1997-01-23,78934,185,443,113,7.15,NA,NA,NA,547,48,1406,10,NA,NA,NA,35453,55,256,54,435,37,1243,79452.35,80667.2857142857
"146",1997-01-24,82533,225,492,NA,7.13,NA,0.1435,NA,486,47,1800,2.8,NA,NA,NA,35454,44,293,NA,625,36,2160,82678.138,80937.3571428571
"147",1997-01-25,80240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,35455,54,246,NA,473,NA,1638,80286.6515,80765.6428571429
"148",1997-01-26,76457,296,694,NA,9.29,NA,NA,NA,NA,NA,1630,3.2,NA,NA,NA,35456,68,253,NA,460,NA,1296,76622.872,80434.0714285714
"149",1997-01-27,84346,283,572,NA,7.04,NA,NA,NA,486,48,1436,51.5,NA,NA,NA,35457,78,287,NA,514,37,1468,87015.5025,79909.6428571429
"150",1997-01-28,86115,225,568,NA,6.93,NA,NA,NA,508,46,1324,7.6,NA,NA,NA,35458,85,274,NA,518,36,1331,86508.946,79638.6428571429
"151",1997-01-29,79094,214,535,NA,6.48,NA,NA,NA,492,47,1197,5.8,NA,NA,NA,35459,27,279,NA,443,36,1326,79394.643,78722.9285714286
"152",1997-01-30,81516,148,483,58,6.85,NA,NA,NA,454,48,1240,NA,NA,NA,NA,35460,44,291,18,458,37,1365,81516,78544.3571428571
"153",1997-01-31,82353,166,487,NA,7.54,NA,NA,NA,368,47,1315,16.3,NA,NA,NA,35461,52,284,NA,386,37,1346,83197.9105,78606.2142857143
"154",1997-02-01,75976,245.23,473,NA,6.67,NA,NA,NA,435,NA,1266,NA,NA,NA,NA,35462,46.76,274,NA,412,NA,1329,75976,78733.7857142857
"155",1997-02-02,73809,200.02,453,NA,7.13,NA,NA,NA,439,NA,1239,4.7,NA,NA,NA,35463,50.1,312,NA,398,NA,1310,74052.6245,79001.8571428571
"156",1997-02-03,75019,261.67,503,NA,7.02,NA,NA,NA,409,47,1360,1.9,NA,NA,NA,35464,43.42,272,NA,357,37,1304,75117.4865,78807.1428571429
"157",1997-02-04,76870,310.99,577,NA,11.83,NA,0.165,NA,451,48,2000,NA,978.068,1061.7,NA,35465,66.8,266,NA,388,37,1335,76870,78467
"158",1997-02-05,68859,253.45,505,NA,7.41,NA,NA,NA,448,46,1268,0.6,770.325,1030.4,NA,35466,73.48,288,NA,426,37,1444,68890.101,78728.9285714286
"159",1997-02-06,76434,215.09,453,65,7.32,NA,0.927,NA,403,48,1103,NA,846.733,1021.8,NA,35467,58.45,259,26,364,37,1411,76434,78656.2857142857
"160",1997-02-07,83399,197.28,432,NA,7.4,NA,NA,NA,427,47,1289,NA,874.526,739.9,NA,35468,33.4,237,NA,378,37,1254,83399,78511.5
"161",1997-02-08,82026,195.91,480,NA,6.81,NA,NA,NA,339,NA,1362,NA,859.587,905.4,NA,35469,56.78,225,NA,338,NA,1388,82026,78700.8571428571
"162",1997-02-09,80210,190.43,453,NA,7.05,NA,NA,NA,372,NA,1296,NA,725.297,894,NA,35470,33.4,222,NA,385,NA,1306,80210,79193.0714285714
"163",1997-02-10,81620,263.04,416,NA,6.92,NA,NA,NA,439,47,1221,NA,921.19,1021.1,NA,35471,40.08,225,NA,356,37,1297,81620,79364.6428571429
"164",1997-02-11,81353,198.65,397,NA,6.92,NA,NA,NA,381,NA,1228,0.5,852.579,1019.3,NA,35472,26.72,225,NA,363,NA,1290,81378.9175,77545.5714285714
